n,time,stddev
1,2.7799999952316283,0.13266498550391612
2,2.75,0.2376972929998192
4,2.780000001192093,0.23579651244094438
8,2.709999996423721,0.13747726417185452
16,2.7899999976158143,0.15132745146909501
32,2.7899999976158143,0.15779733369675494
64,2.790000003576279,0.1513274794344719
128,2.780000001192093,0.14696937418470107
256,2.6299999952316284,0.15524174481249792
512,2.7,0.11832159868450219
1024,2.7599999964237214,0.12806249014769383
2048,2.65,0.16278819717343715
4096,2.7400000035762786,0.20591260733540673
8192,2.810000002384186,0.19209371769018904
16384,2.8100000083446504,0.19209372358568833
32768,2.840000021457672,0.16852298612615205
65536,2.9099999904632567,0.20223749052765078
131072,2.8499999940395355,0.28017852069184424
262144,3.3099999964237212,0.33000000697193815
524288,4.810000002384186,0.6788961686591918
1048576,5.710000002384186,0.6122907774396241
2097152,7.729999995231628,0.4517742820867879
