n,time,stddev
1.0,4.38690185546875e-06,1.0558578825134144e-05
2.0,9.775161743164062e-07,1.0084288588789274e-06
4.0,5.960464477539062e-07,4.915124923727108e-07
8.0,1.0967254638671874e-06,4.017901312435321e-07
16.0,7.62939453125e-07,5.091227651611e-07
32.0,8.344650268554688e-07,3.0625420996344397e-07
64.0,6.198883056640625e-07,4.156969970265077e-07
128.0,5.483627319335937e-07,5.54547469597483e-07
256.0,8.821487426757813e-07,3.207593929069927e-07
512.0,7.62939453125e-07,4.1019083342755444e-07
1024.0,5.960464477539062e-07,4.915124923727108e-07
2048.0,9.5367431640625e-07,3.371747880871523e-07
4096.0,3.5047531127929686e-06,6.159372223034736e-06
8192.0,1.52587890625e-06,5.859473098490003e-07
16384.0,2.09808349609375e-06,2.977847098540496e-07
32768.0,3.0517578125e-06,4.862803948967729e-07
65536.0,3.981590270996094e-06,4.1364077503436735e-07
131072.0,6.031990051269531e-06,5.006790161132812e-07
262144.0,1.0418891906738282e-05,1.4891144246699515e-06
524288.0,2.067089080810547e-05,3.860688132897097e-06
1048576.0,4.4465065002441406e-05,1.5511964227935266e-05
2097152.0,0.00019207000732421876,6.387608838574041e-05
4194304.0,0.000533151626586914,8.228507368755137e-05
8388608.0,0.0011889934539794922,0.00035993826343591346
16777216.0,0.002245807647705078,0.000450529618437302
33554432.0,0.005306220054626465,0.0015104710622859574
67108864.0,0.011150217056274414,0.002041514192519537
134217728.0,0.0214263916015625,0.003756923551299108
268435456.0,0.06341674327850341,0.003319355254557557
536870912.0,0.11960313320159913,0.0047033939543986766
