n,time,stddev
1,3.010000002384186,0.7091544337586645
2,2.719999998807907,0.2039607818295495
4,2.8099999964237212,0.17000000301529603
8,2.780000001192093,0.11661904934567195
16,2.8,0.13416407509585576
32,2.780000001192093,0.1248999458422851
64,2.6799999952316282,0.07483315283308994
128,2.7800000071525575,0.1469693912181503
256,2.8,0.1414213730960499
512,2.7899999976158143,0.1135781667060951
1024,2.760000002384186,0.2059126113879272
2048,2.5899999916553496,0.17578395444696973
4096,2.7999999940395357,0.06324554943364194
8192,2.840000015497208,0.16852299815156072
16384,2.8500000059604647,0.1284523169702446
32768,2.890000009536743,0.15132745855890994
65536,2.930000013113022,0.16155495137154072
131072,2.969999998807907,0.23259406683850406
262144,3.319999998807907,0.36000001397397857
524288,4.689999997615814,0.6624952971813345
1048576,5.929999989271164,0.8099999993671609
2097152,8.079999995231628,0.9130169831343641
4194304,23.19000001549721,1.6902366794317456
