n,time,stddev
1.0,8.106231689453125e-07,1.7688023558608443e-06
2.0,5.483627319335937e-07,5.647048607982163e-07
4.0,8.58306884765625e-07,5.662127536314925e-07
8.0,1.1444091796875e-06,4.4984727535517715e-07
16.0,2.3365020751953127e-06,4.978326086478495e-07
32.0,4.816055297851562e-06,5.917393515582492e-07
64.0,8.89301300048828e-06,3.7012516728067457e-07
128.0,1.6736984252929688e-05,4.1019083342755444e-07
256.0,3.9076805114746095e-05,2.708858973948571e-06
512.0,7.376670837402343e-05,4.486072225620144e-06
1024.0,0.00013730525970458984,4.230771107620907e-06
2048.0,0.00026831626892089846,3.2780603870958735e-06
4096.0,0.0005507707595825195,8.147115549050285e-06
8192.0,0.0010683536529541016,3.574625268830113e-05
16384.0,0.002133679389953613,7.20924365686121e-05
32768.0,0.004261112213134766,0.00023774184983234783
65536.0,0.00870811939239502,0.0001534568826317024
131072.0,0.017300939559936522,0.0003840387118685841
262144.0,0.03418333530426025,0.0006526959148806224
524288.0,0.06779210567474366,0.0005702395279373393
