n,time,stddev
1.0,0.0,0.0
2.0,0.0,0.0
4.0,0.050005,0.2179667416717514
8.0,0.0,0.0
16.0,0.0,0.0
32.0,0.0,0.0
64.0,0.0,0.0
128.0,0.0,0.0
256.0,0.0,0.0
512.0,0.0,0.0
1024.0,0.049995,0.21792315268231596
2048.0,0.0,0.0
4096.0,0.0,0.0
8192.0,0.0,0.0
16384.0,0.050725,0.22110514891110064
32768.0,0.0,0.0
65536.0,0.09977,0.434887347597053
131072.0,0.0,0.0
262144.0,0.04932,0.21498089589542602
524288.0,0.25017,0.4333212573830183
1048576.0,0.751345,0.43383702870432805
2097152.0,1.503375,0.4977840223179125
4194304.0,3.1526249999999996,0.4774600945367058
8388608.0,6.102034999999999,0.7670120235530863
16777216.0,12.501764999999999,1.4989680067549809
